# lower_burn_idx, upper_idx, energy, intensity
0 8 -7.2619e-02 1.5625e-02
0 8 -6.2245e-02 1.5625e-02
0 8 -5.1871e-02 1.5625e-02
0 8 -4.1497e-02 1.5625e-02
0 8 -3.1123e-02 1.5625e-02
0 8 -2.0748e-02 1.5625e-02
0 8 -1.0374e-02 1.5625e-02
0 8 0.0000e+00 1.5625e-02
0 8 1.3247e-02 -1.5625e-02
0 8 2.6494e-02 -1.5625e-02
0 8 3.9741e-02 -1.5625e-02
0 8 5.2988e-02 -1.5625e-02
0 8 6.6234e-02 -1.5625e-02
0 8 7.9481e-02 -1.5625e-02
0 8 9.2728e-02 -1.5625e-02
1 9 -6.2245e-02 1.5625e-02
1 9 -5.1871e-02 1.5625e-02
1 9 -4.1497e-02 1.5625e-02
1 9 -3.1123e-02 1.5625e-02
1 9 -2.0748e-02 1.5625e-02
1 9 -1.3247e-02 -1.5625e-02
1 9 -1.0374e-02 1.5625e-02
1 9 0.0000e+00 1.5625e-02
1 9 5.7454e-03 -1.5625e-02
1 9 1.0374e-02 1.5625e-02
1 9 1.3247e-02 -1.5625e-02
1 9 2.6494e-02 -1.5625e-02
1 9 3.9741e-02 -1.5625e-02
1 9 5.2988e-02 -1.5625e-02
1 9 6.6234e-02 -1.5625e-02
1 9 7.9481e-02 -1.5625e-02
2 10 -5.1871e-02 1.5625e-02
2 10 -4.1497e-02 1.5625e-02
2 10 -3.1123e-02 1.5625e-02
2 10 -2.6494e-02 -1.5625e-02
2 10 -2.0748e-02 1.5625e-02
2 10 -1.3247e-02 -1.5625e-02
2 10 -1.0374e-02 1.5625e-02
2 10 0.0000e+00 1.5625e-02
2 10 1.0374e-02 1.5625e-02
2 10 1.3247e-02 -1.5625e-02
2 10 2.0748e-02 1.5625e-02
2 10 2.6494e-02 -1.5625e-02
2 10 3.9741e-02 -1.5625e-02
2 10 5.2988e-02 -1.5625e-02
2 10 6.6234e-02 -1.5625e-02
3 11 -4.1497e-02 1.5625e-02
3 11 -3.9741e-02 -1.5625e-02
3 11 -3.1123e-02 1.5625e-02
3 11 -2.6494e-02 -1.5625e-02
3 11 -2.0748e-02 1.5625e-02
3 11 -1.3247e-02 -1.5625e-02
3 11 -1.0374e-02 1.5625e-02
3 11 0.0000e+00 1.5625e-02
3 11 1.0374e-02 1.5625e-02
3 11 1.3247e-02 -1.5625e-02
3 11 2.0748e-02 1.5625e-02
3 11 2.6494e-02 -1.5625e-02
3 11 3.1123e-02 1.5625e-02
3 11 3.9741e-02 -1.5625e-02
3 11 5.2988e-02 -1.5625e-02
4 12 -5.2988e-02 -1.5625e-02
4 12 -3.9741e-02 -1.5625e-02
4 12 -3.1123e-02 1.5625e-02
4 12 -2.6494e-02 -1.5625e-02
4 12 -2.0748e-02 1.5625e-02
4 12 -1.3247e-02 -1.5625e-02
4 12 -1.0374e-02 1.5625e-02
4 12 0.0000e+00 1.5625e-02
4 12 1.0374e-02 1.5625e-02
4 12 1.3247e-02 -1.5625e-02
4 12 2.0748e-02 1.5625e-02
4 12 2.6494e-02 -1.5625e-02
4 12 3.1123e-02 1.5625e-02
4 12 3.9741e-02 -1.5625e-02
4 12 4.1497e-02 1.5625e-02
5 13 -6.6234e-02 -1.5625e-02
5 13 -5.2988e-02 -1.5625e-02
5 13 -3.9741e-02 -1.5625e-02
5 13 -2.6494e-02 -1.5625e-02
5 13 -2.0748e-02 1.5625e-02
5 13 -1.3247e-02 -1.5625e-02
5 13 -1.0374e-02 1.5625e-02
5 13 0.0000e+00 1.5625e-02
5 13 1.0374e-02 1.5625e-02
5 13 1.3247e-02 -1.5625e-02
5 13 2.0748e-02 1.5625e-02
5 13 2.6494e-02 -1.5625e-02
5 13 3.1123e-02 1.5625e-02
5 13 4.1497e-02 1.5625e-02
5 13 5.1871e-02 1.5625e-02
6 14 -7.9481e-02 -1.5625e-02
6 14 -6.6234e-02 -1.5625e-02
6 14 -5.2988e-02 -1.5625e-02
6 14 -3.9741e-02 -1.5625e-02
6 14 -2.6494e-02 -1.5625e-02
6 14 -1.3247e-02 -1.5625e-02
6 14 -1.0374e-02 1.5625e-02
6 14 0.0000e+00 1.5625e-02
6 14 1.0374e-02 1.5625e-02
6 14 1.3247e-02 -1.5625e-02
6 14 2.0748e-02 1.5625e-02
6 14 3.1123e-02 1.5625e-02
6 14 4.1497e-02 1.5625e-02
6 14 5.1871e-02 1.5625e-02
6 14 6.2245e-02 1.5625e-02
7 15 -9.2728e-02 -1.5625e-02
7 15 -7.9481e-02 -1.5625e-02
7 15 -6.6234e-02 -1.5625e-02
7 15 -5.2988e-02 -1.5625e-02
7 15 -3.9741e-02 -1.5625e-02
7 15 -2.6494e-02 -1.5625e-02
7 15 -1.7236e-02 -1.5625e-02
7 15 -1.3247e-02 -1.5625e-02
7 15 0.0000e+00 1.5625e-02
7 15 1.0374e-02 1.5625e-02
7 15 2.0748e-02 1.5625e-02
7 15 3.1123e-02 1.5625e-02
7 15 4.1497e-02 1.5625e-02
7 15 5.1871e-02 1.5625e-02
7 15 6.2245e-02 1.5625e-02
7 15 7.2619e-02 1.5625e-02
