# lower_burn_idx, upper_idx, energy, intensity
0 16 -7.4736e-02 3.9006e-03
0 16 -7.2619e-02 3.9006e-03
0 16 -6.4362e-02 3.9006e-03
0 16 -6.2245e-02 3.9006e-03
0 16 -5.3988e-02 3.9006e-03
0 16 -5.1871e-02 3.9006e-03
0 16 -4.3613e-02 3.9006e-03
0 16 -4.1497e-02 3.9006e-03
0 16 -3.3239e-02 3.9006e-03
0 16 -3.1123e-02 3.9006e-03
0 16 -2.2865e-02 3.9006e-03
0 16 -2.0748e-02 3.9006e-03
0 16 -1.2491e-02 3.9006e-03
0 16 -1.0374e-02 3.9006e-03
0 16 -2.1165e-03 3.9006e-03
0 16 -6.9736e-05 -3.9006e-03
0 16 0.0000e+00 3.9006e-03
0 16 2.0468e-03 -3.9006e-03
0 16 1.1130e-02 -5.6345e-06
0 16 1.3177e-02 -5.6345e-06
0 16 1.3247e-02 -3.8950e-03
0 16 1.5294e-02 -3.8950e-03
0 16 2.4377e-02 -5.6345e-06
0 16 2.6424e-02 -5.6345e-06
0 16 2.6494e-02 -3.8950e-03
0 16 2.8541e-02 -3.8950e-03
0 16 3.7624e-02 -5.6345e-06
0 16 3.9671e-02 -5.6345e-06
0 16 3.9741e-02 -3.8950e-03
0 16 4.1787e-02 -3.8950e-03
0 16 5.0871e-02 -5.6345e-06
0 16 5.2918e-02 -5.6345e-06
0 16 5.2988e-02 -3.8950e-03
0 16 5.5034e-02 -3.8950e-03
0 16 6.4118e-02 -5.6345e-06
0 16 6.6165e-02 -5.6345e-06
0 16 6.6234e-02 -3.8950e-03
0 16 6.8281e-02 -3.8950e-03
0 16 7.7365e-02 -5.6345e-06
0 16 7.9412e-02 -5.6345e-06
0 16 7.9481e-02 -3.8950e-03
0 16 8.1528e-02 -3.8950e-03
0 16 9.0612e-02 -5.6345e-06
0 16 9.2658e-02 -5.6345e-06
0 16 9.2728e-02 -3.8950e-03
0 16 9.4775e-02 -3.8950e-03
0 17 -7.2619e-02 5.6427e-06
0 17 -7.0503e-02 5.6427e-06
0 17 -6.2245e-02 5.6427e-06
0 17 -6.0129e-02 5.6427e-06
0 17 -5.1871e-02 5.6427e-06
0 17 -4.9754e-02 5.6427e-06
0 17 -4.1497e-02 5.6427e-06
0 17 -3.9380e-02 5.6427e-06
0 17 -3.1123e-02 5.6427e-06
0 17 -2.9006e-02 5.6427e-06
0 17 -2.0748e-02 5.6427e-06
0 17 -1.8632e-02 5.6427e-06
0 17 -1.0374e-02 5.6427e-06
0 17 -8.2577e-03 5.6427e-06
0 17 0.0000e+00 5.6427e-06
0 17 2.0468e-03 -5.6427e-06
0 17 2.1165e-03 5.6427e-06
0 17 4.1633e-03 -5.6427e-06
0 17 1.3247e-02 -8.1510e-09
0 17 1.5294e-02 -8.1510e-09
0 17 1.5363e-02 -5.6345e-06
0 17 1.7410e-02 -5.6345e-06
0 17 2.6494e-02 -8.1510e-09
0 17 2.8541e-02 -8.1510e-09
0 17 2.8610e-02 -5.6345e-06
0 17 3.0657e-02 -5.6345e-06
0 17 3.9741e-02 -8.1510e-09
0 17 4.1787e-02 -8.1510e-09
0 17 4.1857e-02 -5.6345e-06
0 17 4.3904e-02 -5.6345e-06
0 17 5.2988e-02 -8.1510e-09
0 17 5.5034e-02 -8.1510e-09
0 17 5.5104e-02 -5.6345e-06
0 17 5.7151e-02 -5.6345e-06
0 17 6.6234e-02 -8.1510e-09
0 17 6.8281e-02 -8.1510e-09
0 17 6.8351e-02 -5.6345e-06
0 17 7.0398e-02 -5.6345e-06
0 17 7.9481e-02 -8.1510e-09
0 17 8.1528e-02 -8.1510e-09
0 17 8.1598e-02 -5.6345e-06
0 17 8.3645e-02 -5.6345e-06
0 17 9.2728e-02 -8.1510e-09
0 17 9.4775e-02 -8.1510e-09
0 17 9.4845e-02 -5.6345e-06
0 17 9.6892e-02 -5.6345e-06
1 16 -7.4736e-02 5.6427e-06
1 16 -7.2619e-02 5.6427e-06
1 16 -6.4362e-02 5.6427e-06
1 16 -6.2245e-02 5.6427e-06
1 16 -5.3988e-02 5.6427e-06
1 16 -5.1871e-02 5.6427e-06
1 16 -4.3613e-02 5.6427e-06
1 16 -4.1497e-02 5.6427e-06
1 16 -3.3239e-02 5.6427e-06
1 16 -3.1123e-02 5.6427e-06
1 16 -2.2865e-02 5.6427e-06
1 16 -2.0748e-02 5.6427e-06
1 16 -1.2491e-02 5.6427e-06
1 16 -1.0374e-02 5.6427e-06
1 16 -4.1633e-03 -5.6427e-06
1 16 -2.1165e-03 5.6427e-06
1 16 -2.0468e-03 -5.6427e-06
1 16 0.0000e+00 5.6427e-06
1 16 9.0835e-03 -5.6345e-06
1 16 1.1130e-02 -5.6345e-06
1 16 1.1200e-02 -8.1510e-09
1 16 1.3247e-02 -8.1510e-09
1 16 2.2330e-02 -5.6345e-06
1 16 2.4377e-02 -5.6345e-06
1 16 2.4447e-02 -8.1510e-09
1 16 2.6494e-02 -8.1510e-09
1 16 3.5577e-02 -5.6345e-06
1 16 3.7624e-02 -5.6345e-06
1 16 3.7694e-02 -8.1510e-09
1 16 3.9741e-02 -8.1510e-09
1 16 4.8824e-02 -5.6345e-06
1 16 5.0871e-02 -5.6345e-06
1 16 5.0941e-02 -8.1510e-09
1 16 5.2988e-02 -8.1510e-09
1 16 6.2071e-02 -5.6345e-06
1 16 6.4118e-02 -5.6345e-06
1 16 6.4188e-02 -8.1510e-09
1 16 6.6234e-02 -8.1510e-09
1 16 7.5318e-02 -5.6345e-06
1 16 7.7365e-02 -5.6345e-06
1 16 7.7435e-02 -8.1510e-09
1 16 7.9481e-02 -8.1510e-09
1 16 8.8565e-02 -5.6345e-06
1 16 9.0612e-02 -5.6345e-06
1 16 9.0681e-02 -8.1510e-09
1 16 9.2728e-02 -8.1510e-09
1 17 -7.2619e-02 3.9006e-03
1 17 -7.0503e-02 3.9006e-03
1 17 -6.2245e-02 3.9006e-03
1 17 -6.0129e-02 3.9006e-03
1 17 -5.1871e-02 3.9006e-03
1 17 -4.9754e-02 3.9006e-03
1 17 -4.1497e-02 3.9006e-03
1 17 -3.9380e-02 3.9006e-03
1 17 -3.1123e-02 3.9006e-03
1 17 -2.9006e-02 3.9006e-03
1 17 -2.0748e-02 3.9006e-03
1 17 -1.8632e-02 3.9006e-03
1 17 -1.0374e-02 3.9006e-03
1 17 -8.2577e-03 3.9006e-03
1 17 -2.0468e-03 -3.9006e-03
1 17 0.0000e+00 3.9006e-03
1 17 6.9736e-05 -3.9006e-03
1 17 2.1165e-03 3.9006e-03
1 17 1.1200e-02 -3.8950e-03
1 17 1.3247e-02 -3.8950e-03
1 17 1.3317e-02 -5.6345e-06
1 17 1.5363e-02 -5.6345e-06
1 17 2.4447e-02 -3.8950e-03
1 17 2.6494e-02 -3.8950e-03
1 17 2.6564e-02 -5.6345e-06
1 17 2.8610e-02 -5.6345e-06
1 17 3.7694e-02 -3.8950e-03
1 17 3.9741e-02 -3.8950e-03
1 17 3.9810e-02 -5.6345e-06
1 17 4.1857e-02 -5.6345e-06
1 17 5.0941e-02 -3.8950e-03
1 17 5.2988e-02 -3.8950e-03
1 17 5.3057e-02 -5.6345e-06
1 17 5.5104e-02 -5.6345e-06
1 17 6.4188e-02 -3.8950e-03
1 17 6.6234e-02 -3.8950e-03
1 17 6.6304e-02 -5.6345e-06
1 17 6.8351e-02 -5.6345e-06
1 17 7.7435e-02 -3.8950e-03
1 17 7.9481e-02 -3.8950e-03
1 17 7.9551e-02 -5.6345e-06
1 17 8.1598e-02 -5.6345e-06
1 17 9.0681e-02 -3.8950e-03
1 17 9.2728e-02 -3.8950e-03
1 17 9.2798e-02 -5.6345e-06
1 17 9.4845e-02 -5.6345e-06
2 18 -6.4362e-02 3.9006e-03
2 18 -6.2245e-02 3.9006e-03
2 18 -5.3988e-02 3.9006e-03
2 18 -5.1871e-02 3.9006e-03
2 18 -4.3613e-02 3.9006e-03
2 18 -4.1497e-02 3.9006e-03
2 18 -3.3239e-02 3.9006e-03
2 18 -3.1123e-02 3.9006e-03
2 18 -2.2865e-02 3.9006e-03
2 18 -2.0748e-02 3.9006e-03
2 18 -1.5363e-02 -5.6345e-06
2 18 -1.3317e-02 -5.6345e-06
2 18 -1.3247e-02 -3.8950e-03
2 18 -1.2491e-02 3.9006e-03
2 18 -1.1200e-02 -3.8950e-03
2 18 -1.0374e-02 3.9006e-03
2 18 -2.1165e-03 3.9006e-03
2 18 -6.9736e-05 -3.9006e-03
2 18 0.0000e+00 3.9006e-03
2 18 2.0468e-03 -3.9006e-03
2 18 8.2577e-03 3.9006e-03
2 18 1.0374e-02 3.9006e-03
2 18 1.1130e-02 -5.6345e-06
2 18 1.3177e-02 -5.6345e-06
2 18 1.3247e-02 -3.8950e-03
2 18 1.5294e-02 -3.8950e-03
2 18 2.4377e-02 -5.6345e-06
2 18 2.6424e-02 -5.6345e-06
2 18 2.6494e-02 -3.8950e-03
2 18 2.8541e-02 -3.8950e-03
2 18 3.7624e-02 -5.6345e-06
2 18 3.9671e-02 -5.6345e-06
2 18 3.9741e-02 -3.8950e-03
2 18 4.1787e-02 -3.8950e-03
2 18 5.0871e-02 -5.6345e-06
2 18 5.2918e-02 -5.6345e-06
2 18 5.2988e-02 -3.8950e-03
2 18 5.5034e-02 -3.8950e-03
2 18 6.4118e-02 -5.6345e-06
2 18 6.6165e-02 -5.6345e-06
2 18 6.6234e-02 -3.8950e-03
2 18 6.8281e-02 -3.8950e-03
2 18 7.7365e-02 -5.6345e-06
2 18 7.9412e-02 -5.6345e-06
2 18 7.9481e-02 -3.8950e-03
2 18 8.1528e-02 -3.8950e-03
2 19 -6.2245e-02 5.6427e-06
2 19 -6.0129e-02 5.6427e-06
2 19 -5.1871e-02 5.6427e-06
2 19 -4.9754e-02 5.6427e-06
2 19 -4.1497e-02 5.6427e-06
2 19 -3.9380e-02 5.6427e-06
2 19 -3.1123e-02 5.6427e-06
2 19 -2.9006e-02 5.6427e-06
2 19 -2.0748e-02 5.6427e-06
2 19 -1.8632e-02 5.6427e-06
2 19 -1.3247e-02 -8.1510e-09
2 19 -1.1200e-02 -8.1510e-09
2 19 -1.1130e-02 -5.6345e-06
2 19 -1.0374e-02 5.6427e-06
2 19 -9.0835e-03 -5.6345e-06
2 19 -8.2577e-03 5.6427e-06
2 19 0.0000e+00 5.6427e-06
2 19 2.0468e-03 -5.6427e-06
2 19 2.1165e-03 5.6427e-06
2 19 4.1633e-03 -5.6427e-06
2 19 1.0374e-02 5.6427e-06
2 19 1.2491e-02 5.6427e-06
2 19 1.3247e-02 -8.1510e-09
2 19 1.5294e-02 -8.1510e-09
2 19 1.5363e-02 -5.6345e-06
2 19 1.7410e-02 -5.6345e-06
2 19 2.6494e-02 -8.1510e-09
2 19 2.8541e-02 -8.1510e-09
2 19 2.8610e-02 -5.6345e-06
2 19 3.0657e-02 -5.6345e-06
2 19 3.9741e-02 -8.1510e-09
2 19 4.1787e-02 -8.1510e-09
2 19 4.1857e-02 -5.6345e-06
2 19 4.3904e-02 -5.6345e-06
2 19 5.2988e-02 -8.1510e-09
2 19 5.5034e-02 -8.1510e-09
2 19 5.5104e-02 -5.6345e-06
2 19 5.7151e-02 -5.6345e-06
2 19 6.6234e-02 -8.1510e-09
2 19 6.8281e-02 -8.1510e-09
2 19 6.8351e-02 -5.6345e-06
2 19 7.0398e-02 -5.6345e-06
2 19 7.9481e-02 -8.1510e-09
2 19 8.1528e-02 -8.1510e-09
2 19 8.1598e-02 -5.6345e-06
2 19 8.3645e-02 -5.6345e-06
3 18 -6.4362e-02 5.6427e-06
3 18 -6.2245e-02 5.6427e-06
3 18 -5.3988e-02 5.6427e-06
3 18 -5.1871e-02 5.6427e-06
3 18 -4.3613e-02 5.6427e-06
3 18 -4.1497e-02 5.6427e-06
3 18 -3.3239e-02 5.6427e-06
3 18 -3.1123e-02 5.6427e-06
3 18 -2.2865e-02 5.6427e-06
3 18 -2.0748e-02 5.6427e-06
3 18 -1.7410e-02 -5.6345e-06
3 18 -1.5363e-02 -5.6345e-06
3 18 -1.5294e-02 -8.1510e-09
3 18 -1.3247e-02 -8.1510e-09
3 18 -1.2491e-02 5.6427e-06
3 18 -1.0374e-02 5.6427e-06
3 18 -4.1633e-03 -5.6427e-06
3 18 -2.1165e-03 5.6427e-06
3 18 -2.0468e-03 -5.6427e-06
3 18 0.0000e+00 5.6427e-06
3 18 8.2577e-03 5.6427e-06
3 18 9.0835e-03 -5.6345e-06
3 18 1.0374e-02 5.6427e-06
3 18 1.1130e-02 -5.6345e-06
3 18 1.1200e-02 -8.1510e-09
3 18 1.3247e-02 -8.1510e-09
3 18 2.2330e-02 -5.6345e-06
3 18 2.4377e-02 -5.6345e-06
3 18 2.4447e-02 -8.1510e-09
3 18 2.6494e-02 -8.1510e-09
3 18 3.5577e-02 -5.6345e-06
3 18 3.7624e-02 -5.6345e-06
3 18 3.7694e-02 -8.1510e-09
3 18 3.9741e-02 -8.1510e-09
3 18 4.8824e-02 -5.6345e-06
3 18 5.0871e-02 -5.6345e-06
3 18 5.0941e-02 -8.1510e-09
