# gs_idx, es_idx, energy, intensity
0 0 -1.8257e-01 7.7564e-03
0 0 -1.7441e-01 7.7564e-03
0 0 -1.7323e-01 7.7564e-03
0 0 -1.6624e-01 7.7564e-03
0 0 -1.6506e-01 7.7564e-03
0 0 -1.5807e-01 7.7564e-03
0 0 -1.5689e-01 7.7564e-03
0 0 -1.4990e-01 7.7564e-03
0 0 -1.4872e-01 7.7564e-03
0 0 -1.4173e-01 7.7564e-03
0 0 -1.4055e-01 7.7564e-03
0 0 -1.3357e-01 7.7564e-03
0 0 -1.3238e-01 7.7564e-03
0 0 -1.3120e-01 -3.4641e-08
0 0 -1.2648e-01 7.7564e-03
0 0 -1.2540e-01 7.7564e-03
0 0 -1.2422e-01 7.7564e-03
0 0 -1.2304e-01 -7.0878e-03
0 0 -1.2185e-01 -4.8255e-06
0 0 -1.1713e-01 -2.3195e-02
0 0 -1.1605e-01 -2.3226e-02
0 0 -1.1487e-01 -2.3269e-02
0 0 -1.1369e-01 -4.3347e-05
0 0 -1.1250e-01 -3.4641e-08
0 0 -1.0670e-01 -7.7687e-03
0 0 -1.0552e-01 -1.1635e-02
0 0 -1.0434e-01 -2.1674e-05
0 0 -1.0316e-01 -1.7321e-08
0 0 -9.7349e-02 -7.7564e-03
0 0 -9.6168e-02 -7.7667e-03
0 0 -9.4987e-02 -1.4470e-05
0 0 -9.3806e-02 -1.1562e-08
0 0 -8.8000e-02 -7.7564e-03
0 0 -8.6819e-02 -7.7564e-03
0 0 -8.5638e-02 -1.4449e-05
0 0 -8.4456e-02 -1.1547e-08
0 0 -7.8651e-02 -7.7564e-03
0 0 -7.7469e-02 -7.7564e-03
0 0 -7.6288e-02 -1.4449e-05
0 0 -6.9301e-02 -7.7564e-03
0 0 -6.8120e-02 -7.7564e-03
0 0 -5.9952e-02 -7.7419e-03
0 0 -5.7157e-02 7.7564e-03
0 0 -4.8992e-02 7.7564e-03
0 0 -4.7807e-02 7.7564e-03
0 0 -4.0827e-02 7.7564e-03
0 0 -3.9642e-02 7.7564e-03
0 0 -3.2661e-02 7.7564e-03
0 0 -3.1476e-02 7.7564e-03
0 0 -2.4496e-02 7.7564e-03
0 0 -2.3311e-02 7.7564e-03
0 0 -1.6331e-02 7.7564e-03
0 0 -1.5146e-02 7.7564e-03
0 0 -8.1653e-03 7.7564e-03
0 0 -6.9805e-03 7.7564e-03
0 0 -5.7957e-03 -3.8676e-08
0 0 -1.0565e-03 7.7564e-03
0 0 0.0000e+00 7.7564e-03
0 0 1.1848e-03 7.7564e-03
0 0 2.3696e-03 -7.0881e-03
0 0 3.5544e-03 -5.0989e-06
0 0 8.2937e-03 -2.3191e-02
0 0 9.3501e-03 -2.3223e-02
0 0 1.0535e-02 -2.3269e-02
0 0 1.1720e-02 -4.5803e-05
0 0 1.2905e-02 -3.8676e-08
0 0 1.8700e-02 -7.7695e-03
0 0 1.9885e-02 -1.1635e-02
0 0 2.1070e-02 -2.2901e-05
0 0 2.2255e-02 -1.9338e-08
0 0 2.8050e-02 -7.7564e-03
0 0 2.9235e-02 -7.7673e-03
0 0 3.0420e-02 -1.5291e-05
0 0 3.1605e-02 -1.2910e-08
0 0 3.7400e-02 -7.7564e-03
0 0 3.8585e-02 -7.7564e-03
0 0 3.9770e-02 -1.5268e-05
0 0 4.0955e-02 -1.2892e-08
0 0 4.6751e-02 -7.7564e-03
0 0 4.7935e-02 -7.7564e-03
0 0 4.9120e-02 -1.5268e-05
0 0 5.6101e-02 -7.7564e-03
0 0 5.7286e-02 -7.7564e-03
0 0 6.5451e-02 -7.7411e-03
0 1 -1.7441e-01 1.5284e-05
0 1 -1.6624e-01 1.5284e-05
0 1 -1.6506e-01 1.5284e-05
0 1 -1.5807e-01 1.5284e-05
0 1 -1.5689e-01 1.5284e-05
0 1 -1.4990e-01 1.5284e-05
0 1 -1.4872e-01 1.5284e-05
0 1 -1.4174e-01 1.5284e-05
0 1 -1.4056e-01 1.5284e-05
0 1 -1.3357e-01 1.5284e-05
0 1 -1.3239e-01 1.5284e-05
0 1 -1.2540e-01 1.5284e-05
0 1 -1.2422e-01 1.5284e-05
0 1 -1.1831e-01 1.5284e-05
0 1 -1.1723e-01 1.5284e-05
0 1 -1.1605e-01 1.5284e-05
0 1 -1.1487e-01 -1.3966e-05
0 1 -1.1369e-01 -9.5085e-09
0 1 -1.0896e-01 -4.5705e-05
0 1 -1.0788e-01 -4.5765e-05
0 1 -1.0670e-01 -4.5851e-05
0 1 -1.0552e-01 -8.5414e-08
0 1 -9.8533e-02 -1.5308e-05
0 1 -9.7352e-02 -2.2925e-05
0 1 -9.6171e-02 -4.2707e-08
0 1 -8.9184e-02 -1.5284e-05
0 1 -8.8003e-02 -1.5304e-05
0 1 -8.6822e-02 -2.8512e-08
0 1 -7.9835e-02 -1.5284e-05
0 1 -7.8653e-02 -1.5284e-05
0 1 -7.7472e-02 -2.8471e-08
0 1 -7.0485e-02 -1.5284e-05
0 1 -6.9304e-02 -1.5284e-05
0 1 -6.8123e-02 -2.8471e-08
0 1 -6.1136e-02 -1.5284e-05
0 1 -5.9955e-02 -1.5284e-05
0 1 -5.1787e-02 -1.5255e-05
0 1 -4.8992e-02 1.5284e-05
0 1 -4.0827e-02 1.5284e-05
0 1 -3.9642e-02 1.5284e-05
0 1 -3.2661e-02 1.5284e-05
0 1 -3.1476e-02 1.5284e-05
0 1 -2.4496e-02 1.5284e-05
0 1 -2.3311e-02 1.5284e-05
0 1 -1.6331e-02 1.5284e-05
0 1 -1.5146e-02 1.5284e-05
0 1 -8.1653e-03 1.5284e-05
0 1 -6.9805e-03 1.5284e-05
0 1 0.0000e+00 1.5284e-05
0 1 1.1848e-03 1.5284e-05
0 1 7.1089e-03 1.5284e-05
0 1 8.1653e-03 1.5284e-05
0 1 9.3501e-03 1.5284e-05
0 1 1.0535e-02 -1.3967e-05
0 1 1.1720e-02 -1.0047e-08
0 1 1.6459e-02 -4.5696e-05
0 1 1.7515e-02 -4.5761e-05
0 1 1.8700e-02 -4.5851e-05
0 1 1.9885e-02 -9.0252e-08
0 1 2.6866e-02 -1.5309e-05
0 1 2.8050e-02 -2.2925e-05
0 1 2.9235e-02 -4.5126e-08
0 1 3.6216e-02 -1.5284e-05
0 1 3.7400e-02 -1.5305e-05
0 1 3.8585e-02 -3.0129e-08
0 1 4.5566e-02 -1.5284e-05
0 1 4.6751e-02 -1.5284e-05
0 1 4.7935e-02 -3.0084e-08
0 1 5.4916e-02 -1.5284e-05
0 1 5.6101e-02 -1.5284e-05
0 1 5.7286e-02 -3.0084e-08
0 1 6.4266e-02 -1.5284e-05
0 1 6.5451e-02 -1.5284e-05
0 1 7.3616e-02 -1.5254e-05
0 2 -1.6624e-01 1.2909e-08
0 2 -1.5808e-01 1.2909e-08
0 2 -1.5689e-01 1.2909e-08
0 2 -1.4991e-01 1.2909e-08
0 2 -1.4873e-01 1.2909e-08
0 2 -1.4174e-01 1.2909e-08
0 2 -1.4056e-01 1.2909e-08
0 2 -1.3357e-01 1.2909e-08
0 2 -1.3239e-01 1.2909e-08
0 2 -1.2540e-01 1.2909e-08
0 2 -1.2422e-01 1.2909e-08
0 2 -1.1724e-01 1.2909e-08
0 2 -1.1605e-01 1.2909e-08
0 2 -1.1015e-01 1.2909e-08
0 2 -1.0907e-01 1.2909e-08
0 2 -1.0789e-01 1.2909e-08
0 2 -1.0670e-01 -1.1797e-08
0 2 -1.0080e-01 -3.8604e-08
0 2 -9.9717e-02 -3.8656e-08
0 2 -9.8536e-02 -3.8728e-08
0 2 -9.0368e-02 -1.2930e-08
0 2 -8.9187e-02 -1.9364e-08
0 2 -8.1019e-02 -1.2909e-08
0 2 -7.9838e-02 -1.2926e-08
0 2 -7.1669e-02 -1.2909e-08
0 2 -7.0488e-02 -1.2909e-08
0 2 -6.2320e-02 -1.2909e-08
0 2 -6.1139e-02 -1.2909e-08
0 2 -5.2971e-02 -1.2909e-08
0 2 -5.1789e-02 -1.2909e-08
0 2 -4.3621e-02 -1.2885e-08
0 2 -4.0827e-02 1.2909e-08
0 2 -3.2661e-02 1.2909e-08
0 2 -3.1476e-02 1.2909e-08
0 2 -2.4496e-02 1.2909e-08
0 2 -2.3311e-02 1.2909e-08
0 2 -1.6331e-02 1.2909e-08
0 2 -1.5146e-02 1.2909e-08
0 2 -8.1653e-03 1.2909e-08
0 2 -6.9805e-03 1.2909e-08
0 2 0.0000e+00 1.2909e-08
0 2 1.1848e-03 1.2909e-08
0 2 8.1653e-03 1.2909e-08
0 2 9.3501e-03 1.2909e-08
0 2 1.5274e-02 1.2909e-08
0 2 1.6331e-02 1.2909e-08
0 2 1.7515e-02 1.2909e-08
0 2 1.8700e-02 -1.1797e-08
0 2 2.4624e-02 -3.8597e-08
0 2 2.5681e-02 -3.8652e-08
0 2 2.6866e-02 -3.8728e-08
0 2 3.5031e-02 -1.2931e-08
0 2 3.6216e-02 -1.9364e-08
0 2 4.4381e-02 -1.2909e-08
0 2 4.5566e-02 -1.2927e-08
0 2 5.3731e-02 -1.2909e-08
0 2 5.4916e-02 -1.2909e-08
0 2 6.3081e-02 -1.2909e-08
0 2 6.4266e-02 -1.2909e-08
0 2 7.2431e-02 -1.2909e-08
0 2 7.3616e-02 -1.2909e-08
0 2 8.1781e-02 -1.2884e-08
0 8 2.3528e+00 4.8330e-05
0 8 2.3609e+00 4.8330e-05
0 8 2.3621e+00 4.8330e-05
0 8 2.3691e+00 4.8330e-05
0 8 2.3703e+00 4.8330e-05
0 8 2.3773e+00 4.8330e-05
0 8 2.3784e+00 4.8330e-05
0 8 2.3854e+00 4.8330e-05
0 8 2.3866e+00 4.8330e-05
0 8 2.3936e+00 4.8330e-05
0 8 2.3948e+00 4.8330e-05
0 8 2.4018e+00 4.8330e-05
0 8 2.4029e+00 4.8330e-05
0 8 2.4089e+00 4.8330e-05
0 8 2.4099e+00 4.8330e-05
0 8 2.4111e+00 4.8330e-05
0 8 2.4123e+00 -4.4164e-05
0 8 2.4135e+00 -3.0068e-08
0 8 2.4182e+00 -1.4453e-04
0 8 2.4193e+00 -1.4472e-04
0 8 2.4205e+00 -1.4499e-04
0 8 2.4216e+00 -2.7009e-07
0 8 2.4286e+00 -4.8407e-05
0 8 2.4298e+00 -7.2495e-05
0 8 2.4310e+00 -1.3505e-07
0 8 2.4380e+00 -4.8330e-05
0 8 2.4392e+00 -4.8394e-05
0 8 2.4403e+00 -9.0160e-08
0 8 2.4473e+00 -4.8330e-05
0 8 2.4485e+00 -4.8330e-05
0 8 2.4497e+00 -9.0032e-08
0 8 2.4567e+00 -4.8330e-05
0 8 2.4579e+00 -4.8330e-05
0 8 2.4590e+00 -9.0032e-08
0 8 2.4660e+00 -4.8330e-05
0 8 2.4672e+00 -4.8330e-05
0 8 2.4754e+00 -4.8240e-05
0 8 2.4782e+00 4.8330e-05
0 8 2.4863e+00 4.8330e-05
0 8 2.4875e+00 4.8330e-05
0 8 2.4945e+00 4.8330e-05
0 8 2.4957e+00 4.8330e-05
0 8 2.5027e+00 4.8330e-05
0 8 2.5039e+00 4.8330e-05
0 8 2.5108e+00 4.8330e-05
0 8 2.5120e+00 4.8330e-05
0 8 2.5190e+00 4.8330e-05
0 8 2.5202e+00 4.8330e-05
0 8 2.5272e+00 4.8330e-05
0 8 2.5284e+00 4.8330e-05
0 8 2.5343e+00 4.8330e-05
0 8 2.5353e+00 4.8330e-05
0 8 2.5365e+00 4.8330e-05
0 8 2.5377e+00 -4.4166e-05
0 8 2.5389e+00 -3.1771e-08
0 8 2.5436e+00 -1.4450e-04
0 8 2.5447e+00 -1.4470e-04
0 8 2.5459e+00 -1.4499e-04
0 8 2.5471e+00 -2.8539e-07
0 8 2.5540e+00 -4.8411e-05
0 8 2.5552e+00 -7.2495e-05
0 8 2.5564e+00 -1.4270e-07
0 8 2.5634e+00 -4.8330e-05
0 8 2.5646e+00 -4.8398e-05
0 8 2.5658e+00 -9.5275e-08
0 8 2.5727e+00 -4.8330e-05
0 8 2.5739e+00 -4.8330e-05
0 8 2.5751e+00 -9.5132e-08
0 8 2.5821e+00 -4.8330e-05
0 8 2.5833e+00 -4.8330e-05
0 8 2.5845e+00 -9.5132e-08
0 8 2.5914e+00 -4.8330e-05
0 8 2.5926e+00 -4.8330e-05
0 8 2.6008e+00 -4.8235e-05
0 9 2.3609e+00 8.9723e-08
0 9 2.3691e+00 8.9723e-08
0 9 2.3703e+00 8.9723e-08
0 9 2.3773e+00 8.9723e-08
0 9 2.3784e+00 8.9723e-08
0 9 2.3854e+00 8.9723e-08
0 9 2.3866e+00 8.9723e-08
0 9 2.3936e+00 8.9723e-08
0 9 2.3948e+00 8.9723e-08
0 9 2.4018e+00 8.9723e-08
0 9 2.4029e+00 8.9723e-08
0 9 2.4099e+00 8.9723e-08
0 9 2.4111e+00 8.9723e-08
0 9 2.4170e+00 8.9723e-08
0 9 2.4181e+00 8.9723e-08
0 9 2.4193e+00 8.9723e-08
0 9 2.4205e+00 -8.1990e-08
0 9 2.4264e+00 -2.6831e-07
0 9 2.4275e+00 -2.6867e-07
0 9 2.4286e+00 -2.6917e-07
0 9 2.4368e+00 -8.9867e-08
0 9 2.4380e+00 -1.3459e-07
0 9 2.4462e+00 -8.9723e-08
0 9 2.4473e+00 -8.9843e-08
0 9 2.4555e+00 -8.9723e-08
0 9 2.4567e+00 -8.9724e-08
0 9 2.4648e+00 -8.9723e-08
0 9 2.4660e+00 -8.9723e-08
0 9 2.4742e+00 -8.9723e-08
0 9 2.4754e+00 -8.9723e-08
0 9 2.4835e+00 -8.9556e-08
0 9 2.4863e+00 8.9723e-08
0 9 2.4945e+00 8.9723e-08
0 9 2.4957e+00 8.9723e-08
0 9 2.5027e+00 8.9723e-08
0 9 2.5039e+00 8.9723e-08
0 9 2.5108e+00 8.9723e-08
0 9 2.5120e+00 8.9723e-08
0 9 2.5190e+00 8.9723e-08
0 9 2.5202e+00 8.9723e-08
0 9 2.5272e+00 8.9723e-08
0 9 2.5284e+00 8.9723e-08
0 9 2.5353e+00 8.9723e-08
0 9 2.5365e+00 8.9723e-08
0 9 2.5424e+00 8.9723e-08
0 9 2.5435e+00 8.9723e-08
0 9 2.5447e+00 8.9723e-08
0 9 2.5459e+00 -8.1994e-08
0 9 2.5518e+00 -2.6826e-07
0 9 2.5528e+00 -2.6864e-07
0 9 2.5540e+00 -2.6917e-07
0 9 2.5622e+00 -8.9875e-08
0 9 2.5634e+00 -1.3459e-07
0 9 2.5715e+00 -8.9723e-08
0 9 2.5727e+00 -8.9850e-08
0 9 2.5809e+00 -8.9723e-08
0 9 2.5821e+00 -8.9724e-08
0 9 2.5903e+00 -8.9723e-08
0 9 2.5914e+00 -8.9723e-08
0 9 2.5996e+00 -8.9723e-08
0 9 2.6008e+00 -8.9723e-08
0 9 2.6090e+00 -8.9547e-08
1 0 -1.8376e-01 1.5285e-05
1 0 -1.8258e-01 1.5285e-05
1 0 -1.7559e-01 1.5285e-05
1 0 -1.7441e-01 1.5285e-05
1 0 -1.7323e-01 1.5285e-05
1 0 -1.6742e-01 1.5285e-05
1 0 -1.6624e-01 1.5285e-05
1 0 -1.6506e-01 1.5285e-05
1 0 -1.5925e-01 1.5285e-05
1 0 -1.5807e-01 1.5285e-05
1 0 -1.5689e-01 1.5285e-05
1 0 -1.5108e-01 1.5285e-05
1 0 -1.4990e-01 1.5285e-05
1 0 -1.4872e-01 1.5285e-05
1 0 -1.4292e-01 1.5285e-05
1 0 -1.4173e-01 1.5285e-05
1 0 -1.4055e-01 1.5285e-05
1 0 -1.3583e-01 -8.5203e-08
1 0 -1.3475e-01 1.5285e-05
1 0 -1.3357e-01 1.5285e-05
1 0 -1.3239e-01 1.5285e-05
1 0 -1.3120e-01 -2.0375e-05
1 0 -1.3002e-01 -2.0363e-08
1 0 -1.2648e-01 1.5285e-05
