# lower_burn_idx, upper_idx, energy, intensity
0 0 0.0000e+00 1.9165e-03
0 1 1.4736e-03 9.0727e-07
0 2 8.8388e-03 3.3462e-06
0 16 2.5252e+00 1.1851e-05
0 18 2.5340e+00 1.9643e-08
1 0 -1.4276e-03 -5.7192e-08
1 1 4.6035e-05 -1.2082e-04
1 3 8.8849e-03 -2.1094e-07
1 17 2.5252e+00 -7.4709e-07
2 0 -1.0021e-02 -7.7815e-07
2 2 -1.1824e-03 -4.4431e-04
2 3 2.9120e-04 -2.1034e-07
2 4 7.6564e-03 -1.3322e-06
2 18 2.5240e+00 -2.7485e-06
3 3 -1.1364e-03 -2.1032e-07
4 4 -2.3648e-03 -3.3175e-07
16 0 -2.4105e+00 -7.1042e-06
16 2 -2.4017e+00 -1.2570e-08
16 16 1.1464e-01 -1.3496e-03
16 17 1.1611e-01 -6.5421e-07
16 18 1.2348e-01 -2.2464e-06
17 17 1.1468e-01 -6.3665e-07
18 2 -2.4117e+00 -1.2417e-08
18 18 1.1346e-01 -2.3587e-06
0 0 -1.4736e-03 1.9165e-03
0 1 0.0000e+00 9.0727e-07
0 2 7.3652e-03 3.3462e-06
0 16 2.5237e+00 1.1851e-05
0 18 2.5325e+00 1.9643e-08
1 0 -2.9012e-03 -9.0091e-07
1 1 -1.4276e-03 -1.9031e-03
1 3 7.4113e-03 -3.3228e-06
1 17 2.5238e+00 -1.1769e-05
1 19 2.5326e+00 -1.9506e-08
3 3 -2.6100e-03 -3.3132e-06
3 19 2.5226e+00 -2.0495e-08
17 1 -2.4120e+00 -5.2976e-08
17 17 1.1321e-01 -1.0064e-05
17 19 1.2205e-01 -1.6751e-08
19 19 1.1203e-01 -1.7589e-08
0 0 -8.8388e-03 1.9165e-03
0 1 -7.3652e-03 9.0727e-07
0 2 0.0000e+00 3.3462e-06
0 16 2.5163e+00 1.1851e-05
0 18 2.5252e+00 1.9643e-08
2 0 -1.8860e-02 -3.3174e-06
2 2 -1.0021e-02 -1.8942e-03
2 3 -8.5476e-03 -8.9670e-07
2 4 -1.1824e-03 -5.6791e-06
2 16 2.5063e+00 -1.9289e-08
