# lower_burn_idx, upper_idx, energy, intensity
0 0 0.0000e+00 4.7888e-04
0 1 1.4736e-03 2.2670e-07
0 2 1.5154e-03 2.4737e-07
0 4 8.8388e-03 8.3611e-07
0 32 2.5252e+00 2.9614e-06
1 0 -1.4276e-03 -1.3364e-08
1 1 4.6035e-05 -2.8231e-05
1 3 1.5615e-03 -1.4583e-08
1 5 8.8849e-03 -4.9291e-08
1 33 2.5252e+00 -1.7458e-07
2 0 -1.5052e-03 -1.5913e-08
2 2 1.0194e-05 -3.0806e-05
2 3 1.4838e-03 -1.4583e-08
2 6 8.8490e-03 -5.3786e-08
2 34 2.5252e+00 -1.9049e-07
3 3 5.6229e-05 -1.4583e-08
4 0 -1.0021e-02 -1.8183e-07
4 4 -1.1824e-03 -1.0382e-04
4 5 2.9120e-04 -4.9151e-08
4 6 3.3303e-04 -5.3629e-08
4 8 7.6564e-03 -3.1129e-07
4 36 2.5240e+00 -6.4227e-07
5 5 -1.1364e-03 -4.9146e-08
6 6 -1.1722e-03 -5.3628e-08
8 8 -2.3648e-03 -7.7521e-08
32 0 -2.4105e+00 -1.6601e-06
32 32 1.1464e-01 -3.1537e-04
32 33 1.1611e-01 -1.5288e-07
32 34 1.1615e-01 -1.5908e-07
32 36 1.2348e-01 -5.2493e-07
33 33 1.1468e-01 -1.4877e-07
34 34 1.1465e-01 -1.6302e-07
36 36 1.1346e-01 -5.5118e-07
0 0 -1.4736e-03 4.7888e-04
0 1 0.0000e+00 2.2670e-07
0 2 4.1830e-05 2.4737e-07
0 4 7.3652e-03 8.3611e-07
0 32 2.5237e+00 2.9614e-06
1 0 -2.9012e-03 -2.2499e-07
1 1 -1.4276e-03 -4.7529e-04
1 3 8.7865e-05 -2.4551e-07
1 5 7.4113e-03 -8.2984e-07
1 33 2.5237e+00 -2.9392e-06
3 3 -1.4174e-03 -2.4551e-07
5 5 -2.6100e-03 -8.2744e-07
33 1 -2.4120e+00 -1.3231e-08
33 33 1.1321e-01 -2.5134e-06
0 0 -1.5154e-03 4.7888e-04
0 1 -4.1830e-05 2.2670e-07
0 2 0.0000e+00 2.4737e-07
0 4 7.3234e-03 8.3611e-07
0 32 2.5237e+00 2.9614e-06
2 0 -3.0207e-03 -2.4552e-07
2 2 -1.5052e-03 -4.7531e-04
2 3 -3.1636e-05 -2.2501e-07
2 6 7.3336e-03 -8.2988e-07
2 34 2.5237e+00 -2.9392e-06
3 3 -1.4592e-03 -2.2500e-07
6 6 -2.6876e-03 -8.2748e-07
34 2 -2.4120e+00 -1.3230e-08
34 34 1.1313e-01 -2.5134e-06
0 0 -2.9890e-03 4.7888e-04
0 1 -1.5154e-03 2.2670e-07
0 2 -1.4736e-03 2.4737e-07
0 4 5.8498e-03 8.3611e-07
0 32 2.5222e+00 2.9614e-06
1 1 -2.9430e-03 -2.4540e-07
2 2 -2.9788e-03 -2.2489e-07
3 1 -4.4482e-03 -2.4540e-07
3 2 -4.4064e-03 -2.2489e-07
3 3 -2.9328e-03 -4.7507e-04
3 7 5.9060e-03 -8.2945e-07
3 35 2.5222e+00 -2.9377e-06
7 7 -4.1152e-03 -8.2705e-07
35 3 -2.4135e+00 -1.3224e-08
35 35 1.1171e-01 -2.5121e-06
0 0 -8.8388e-03 4.7888e-04
0 1 -7.3652e-03 2.2670e-07
