# gs_idx, es_idx, energy, intensity
0 0 0.0000e+00 7.7579e-03
0 1 8.8388e-03 1.3545e-05
0 2 1.7678e-02 1.0137e-08
0 8 2.5252e+00 4.7826e-05
0 9 2.5340e+00 7.9272e-08
8 0 -2.4105e+00 4.0931e-05
8 1 -2.4017e+00 7.2420e-08
8 8 1.1464e-01 7.7517e-03
8 9 1.2348e-01 1.2903e-05
1 0 -1.0021e-02 -2.3489e-08
1 1 -1.1824e-03 -1.3412e-05
1 2 7.6564e-03 -4.0211e-08
1 9 2.5240e+00 -8.2710e-08
2 2 -2.3648e-03 -1.0014e-08
9 9 1.1346e-01 -7.0979e-08
0 0 -8.8388e-03 7.7579e-03
0 1 0.0000e+00 1.3545e-05
0 2 8.8388e-03 1.0137e-08
0 8 2.5163e+00 4.7826e-05
0 9 2.5252e+00 7.9272e-08
8 0 -2.4194e+00 4.0931e-05
8 1 -2.4105e+00 7.2420e-08
8 8 1.0580e-01 7.7517e-03
8 9 1.1464e-01 1.2903e-05
1 0 -1.8860e-02 -1.3412e-05
1 1 -1.0021e-02 -7.6577e-03
1 2 -1.1824e-03 -2.2960e-05
1 3 7.6564e-03 -2.1491e-08
1 8 2.5063e+00 -7.7745e-08
1 9 2.5152e+00 -4.7226e-05
1 10 2.5240e+00 -1.3441e-07
2 1 -2.0042e-02 -6.8853e-08
2 2 -1.1204e-02 -2.2916e-05
2 3 -2.3648e-03 -8.5991e-08
2 10 2.5140e+00 -1.4137e-07
3 3 -1.2386e-02 -2.1422e-08
9 1 -2.4206e+00 -2.1323e-07
9 8 9.5779e-02 -6.7417e-08
9 9 1.0462e-01 -4.0382e-05
9 10 1.1346e-01 -1.1542e-07
10 10 1.0344e-01 -1.2131e-07
0 0 -1.7678e-02 7.7579e-03
0 1 -8.8388e-03 1.3545e-05
0 2 0.0000e+00 1.0137e-08
0 8 2.5075e+00 4.7826e-05
0 9 2.5163e+00 7.9272e-08
8 0 -2.4282e+00 4.0931e-05
8 1 -2.4194e+00 7.2420e-08
8 8 9.6961e-02 7.7517e-03
8 9 1.0580e-01 1.2903e-05
1 0 -2.7699e-02 -4.0211e-08
1 1 -1.8860e-02 -2.2960e-05
1 2 -1.0021e-02 -6.8839e-08
1 9 2.5063e+00 -1.4159e-07
2 0 -3.7720e-02 -1.0014e-08
2 1 -2.8881e-02 -2.2916e-05
2 2 -2.0042e-02 -7.6272e-03
2 3 -1.1204e-02 -2.8620e-05
2 4 -2.3648e-03 -2.8587e-08
2 9 2.4963e+00 -1.3288e-07
2 10 2.5051e+00 -4.7052e-05
2 11 2.5140e+00 -1.6758e-07
3 2 -3.0064e-02 -1.0742e-07
3 3 -2.1225e-02 -2.8595e-05
3 4 -1.2386e-02 -1.1454e-07
3 11 2.5040e+00 -1.7644e-07
4 4 -2.2407e-02 -2.8552e-08
9 9 9.5781e-02 -1.2270e-07
10 2 -2.4306e+00 -2.1245e-07
10 9 8.5760e-02 -1.1522e-07
10 10 9.4601e-02 -4.0231e-05
10 11 1.0344e-01 -1.4390e-07
11 11 9.3421e-02 -1.5141e-07
0 0 -2.6517e-02 7.7579e-03
0 1 -1.7678e-02 1.3545e-05
0 2 -8.8388e-03 1.0137e-08
0 8 2.4987e+00 4.7826e-05
0 9 2.5075e+00 7.9272e-08
8 0 -2.4371e+00 4.0931e-05
8 1 -2.4282e+00 7.2420e-08
8 8 8.8122e-02 7.7517e-03
8 9 9.6962e-02 1.2903e-05
1 1 -2.7699e-02 -2.1491e-08
2 1 -3.7720e-02 -8.5991e-08
2 2 -2.8881e-02 -2.8620e-05
2 3 -2.0042e-02 -1.0740e-07
2 10 2.4963e+00 -1.7656e-07
3 1 -4.7741e-02 -2.1422e-08
3 2 -3.8903e-02 -2.8595e-05
3 3 -3.0064e-02 -7.6119e-03
3 4 -2.1225e-02 -3.0490e-05
3 5 -1.2386e-02 -2.8557e-08
3 10 2.4863e+00 -1.6584e-07
3 11 2.4951e+00 -4.6969e-05
3 12 2.5040e+00 -1.7856e-07
4 3 -4.0085e-02 -1.2215e-07
4 4 -3.1246e-02 -3.0493e-05
4 5 -2.2407e-02 -1.1453e-07
4 12 2.4939e+00 -1.8819e-07
5 5 -3.2429e-02 -2.8579e-08
10 10 8.5762e-02 -1.5299e-07
11 3 -2.4406e+00 -2.1210e-07
11 10 7.5742e-02 -1.4380e-07
11 11 8.4582e-02 -4.0160e-05
11 12 9.3423e-02 -1.5333e-07
12 12 8.3403e-02 -1.6149e-07
0 0 -3.5355e-02 7.7579e-03
0 1 -2.6517e-02 1.3545e-05
0 2 -1.7678e-02 1.0137e-08
0 8 2.4898e+00 4.7826e-05
0 9 2.4987e+00 7.9272e-08
8 0 -2.4459e+00 4.0931e-05
8 1 -2.4371e+00 7.2420e-08
8 8 7.9283e-02 7.7517e-03
8 9 8.8124e-02 1.2903e-05
2 2 -3.7720e-02 -2.8587e-08
3 2 -4.7741e-02 -1.1454e-07
3 3 -3.8903e-02 -3.0490e-05
3 4 -3.0064e-02 -1.2213e-07
3 11 2.4863e+00 -1.8814e-07
4 2 -5.7763e-02 -2.8552e-08
4 3 -4.8924e-02 -3.0493e-05
4 4 -4.0085e-02 -7.6119e-03
4 5 -3.1246e-02 -2.8590e-05
4 6 -2.2407e-02 -2.1424e-08
4 11 2.4763e+00 -1.7688e-07
4 12 2.4851e+00 -4.6978e-05
4 13 2.4939e+00 -1.6747e-07
5 4 -5.0106e-02 -1.0741e-07
5 5 -4.1267e-02 -2.8622e-05
5 6 -3.2429e-02 -8.5980e-08
5 13 2.4839e+00 -1.7667e-07
6 6 -4.2450e-02 -2.1483e-08
11 11 7.5744e-02 -1.6302e-07
12 4 -2.4506e+00 -2.1218e-07
12 11 6.5723e-02 -1.5337e-07
12 12 7.4564e-02 -4.0167e-05
12 13 8.3405e-02 -1.4380e-07
13 13 7.3384e-02 -1.5160e-07
0 0 -4.4194e-02 7.7579e-03
0 1 -3.5355e-02 1.3545e-05
0 2 -2.6516e-02 1.0137e-08
0 8 2.4810e+00 4.7826e-05
0 9 2.4898e+00 7.9272e-08
8 0 -2.4547e+00 4.0931e-05
8 1 -2.4459e+00 7.2420e-08
8 8 7.0444e-02 7.7517e-03
8 9 7.9285e-02 1.2903e-05
3 3 -4.7741e-02 -2.8557e-08
