# gs_idx, es_idx, energy, intensity
0 0 0.0000e+00 1.2101e-04
0 1 8.8388e-03 4.2258e-07
0 64 2.5252e+00 7.4555e-07
64 0 -2.4105e+00 6.3801e-07
64 64 1.1463e-01 1.2092e-04
64 65 1.2347e-01 4.0258e-07
1 1 -1.1824e-03 -4.1622e-07
0 0 -8.8388e-03 1.2101e-04
0 1 0.0000e+00 4.2258e-07
0 64 2.5163e+00 7.4555e-07
64 0 -2.4194e+00 6.3801e-07
64 64 1.0579e-01 1.2092e-04
64 65 1.1463e-01 4.0258e-07
1 0 -1.8860e-02 -4.1622e-07
1 1 -1.0021e-02 -1.1840e-04
1 3 -1.1824e-03 -7.7058e-07
1 65 2.5152e+00 -7.2991e-07
3 3 -1.1204e-02 -7.6643e-07
65 65 1.0461e-01 -6.2410e-07
0 0 -8.8389e-03 1.2101e-04
0 1 -3.0383e-08 4.2258e-07
0 64 2.5163e+00 7.4555e-07
64 0 -2.4194e+00 6.3801e-07
64 64 1.0579e-01 1.2092e-04
64 65 1.1463e-01 4.0258e-07
2 2 -1.0021e-02 -1.2007e-04
2 4 -1.1824e-03 -3.5940e-07
2 66 2.5152e+00 -7.3991e-07
4 4 -1.1204e-02 -3.5747e-07
66 66 1.0461e-01 -6.3272e-07
0 0 -1.7678e-02 1.2101e-04
0 1 -8.8388e-03 4.2258e-07
0 64 2.5075e+00 7.4555e-07
64 0 -2.4282e+00 6.3801e-07
64 64 9.6951e-02 1.2092e-04
64 65 1.0579e-01 4.0258e-07
1 1 -1.8860e-02 -7.7058e-07
3 1 -2.8881e-02 -7.6643e-07
3 3 -2.0042e-02 -1.1711e-04
3 6 -1.1204e-02 -1.0584e-06
3 67 2.5051e+00 -7.2228e-07
6 6 -2.1225e-02 -1.0538e-06
6 10 -1.2386e-02 -1.1670e-08
67 67 9.4592e-02 -6.1751e-07
0 0 -1.7678e-02 1.2101e-04
0 1 -8.8389e-03 4.2258e-07
0 64 2.5075e+00 7.4555e-07
64 0 -2.4282e+00 6.3801e-07
64 64 9.6951e-02 1.2092e-04
64 65 1.0579e-01 4.0258e-07
2 2 -1.8860e-02 -3.5940e-07
4 2 -2.8881e-02 -3.5747e-07
4 4 -2.0042e-02 -1.1876e-04
4 7 -1.1204e-02 -6.5365e-07
4 68 2.5051e+00 -7.3219e-07
7 7 -2.1225e-02 -6.5078e-07
