# gs_idx, es_idx, energy, intensity
0 0 0.0000e+00 1.9386e-03
0 1 1.4736e-03 9.1770e-07
0 2 8.8388e-03 3.3847e-06
0 16 2.5252e+00 1.1951e-05
0 18 2.5340e+00 1.9808e-08
16 0 -2.4105e+00 1.0228e-05
16 2 -2.4017e+00 1.8096e-08
16 16 1.1464e-01 1.9370e-03
16 17 1.1611e-01 9.3896e-07
16 18 1.2348e-01 3.2241e-06
1 1 4.6035e-05 -9.1084e-07
2 2 -1.1824e-03 -3.3497e-06
2 4 7.6564e-03 -1.0043e-08
2 18 2.5240e+00 -2.0658e-08
18 18 1.1346e-01 -1.7728e-08
0 0 -1.4736e-03 1.9386e-03
0 1 0.0000e+00 9.1770e-07
0 2 7.3652e-03 3.3847e-06
0 16 2.5237e+00 1.1951e-05
0 18 2.5325e+00 1.9808e-08
16 0 -2.4120e+00 1.0228e-05
16 2 -2.4032e+00 1.8096e-08
16 16 1.1316e-01 1.9370e-03
16 17 1.1464e-01 9.3896e-07
16 18 1.2201e-01 3.2241e-06
1 0 -2.9012e-03 -9.1084e-07
1 1 -1.4276e-03 -1.9241e-03
1 3 7.4113e-03 -3.3594e-06
1 17 2.5238e+00 -1.1862e-05
1 19 2.5326e+00 -1.9661e-08
3 3 -2.6100e-03 -3.3497e-06
3 5 6.2289e-03 -1.0043e-08
3 19 2.5226e+00 -2.0658e-08
17 1 -2.4120e+00 -5.3560e-08
17 17 1.1321e-01 -1.0143e-05
17 19 1.2205e-01 -1.6884e-08
19 19 1.1203e-01 -1.7728e-08
0 0 -8.8388e-03 1.9386e-03
0 1 -7.3652e-03 9.1770e-07
0 2 0.0000e+00 3.3847e-06
0 16 2.5163e+00 1.1951e-05
0 18 2.5252e+00 1.9808e-08
16 0 -2.4194e+00 1.0228e-05
16 2 -2.4105e+00 1.8096e-08
16 16 1.0580e-01 1.9370e-03
16 17 1.0727e-01 9.3896e-07
16 18 1.1464e-01 3.2241e-06
2 0 -1.8860e-02 -3.3497e-06
2 2 -1.0021e-02 -1.9126e-03
2 3 -8.5476e-03 -9.0545e-07
2 4 -1.1824e-03 -5.7345e-06
2 16 2.5063e+00 -1.9417e-08
2 18 2.5152e+00 -1.1795e-05
2 20 2.5240e+00 -3.3569e-08
3 3 -9.9752e-03 -9.0543e-07
4 2 -2.0042e-02 -1.7197e-08
4 4 -1.1204e-02 -5.7236e-06
4 6 -2.3648e-03 -2.1477e-08
4 20 2.5140e+00 -3.5308e-08
18 2 -2.4206e+00 -5.3257e-08
18 16 9.5779e-02 -1.6838e-08
18 18 1.0462e-01 -1.0086e-05
18 20 1.1346e-01 -2.8826e-08
20 20 1.0344e-01 -3.0299e-08
0 0 -1.0312e-02 1.9386e-03
0 1 -8.8388e-03 9.1770e-07
0 2 -1.4736e-03 3.3847e-06
0 16 2.5149e+00 1.1951e-05
0 18 2.5237e+00 1.9808e-08
16 0 -2.4209e+00 1.0228e-05
16 2 -2.4120e+00 1.8096e-08
16 16 1.0433e-01 1.9370e-03
16 17 1.0580e-01 9.3896e-07
16 18 1.1317e-01 3.2241e-06
1 1 -1.0266e-02 -3.3594e-06
1 17 2.5149e+00 -2.0710e-08
2 2 -1.1495e-02 -9.0545e-07
3 1 -2.0288e-02 -3.3497e-06
3 2 -1.2922e-02 -9.0543e-07
3 3 -1.1449e-02 -1.9126e-03
3 5 -2.6100e-03 -5.7345e-06
3 17 2.5049e+00 -1.9418e-08
3 19 2.5137e+00 -1.1795e-05
3 21 2.5226e+00 -3.3569e-08
5 3 -2.1470e-02 -1.7197e-08
5 5 -1.2631e-02 -5.7236e-06
5 7 -3.7924e-03 -2.1477e-08
5 21 2.5126e+00 -3.5308e-08
17 17 1.0437e-01 -1.7947e-08
19 3 -2.4220e+00 -5.3258e-08
19 17 9.4351e-02 -1.6838e-08
19 19 1.0319e-01 -1.0086e-05
19 21 1.1203e-01 -2.8827e-08
21 21 1.0201e-01 -3.0300e-08
0 0 -1.7678e-02 1.9386e-03
0 1 -1.6204e-02 9.1770e-07
0 2 -8.8388e-03 3.3847e-06
0 16 2.5075e+00 1.1951e-05
0 18 2.5163e+00 1.9808e-08
16 0 -2.4282e+00 1.0228e-05
16 2 -2.4194e+00 1.8096e-08
16 16 9.6961e-02 1.9370e-03
16 17 9.8434e-02 9.3896e-07
16 18 1.0580e-01 3.2241e-06
2 0 -2.7699e-02 -1.0043e-08
2 2 -1.8860e-02 -5.7345e-06
2 4 -1.0021e-02 -1.7194e-08
2 18 2.5063e+00 -3.5364e-08
4 2 -2.8881e-02 -5.7236e-06
4 4 -2.0042e-02 -1.9050e-03
4 5 -1.8569e-02 -9.0186e-07
4 6 -1.1204e-02 -7.1483e-06
4 18 2.4963e+00 -3.3187e-08
4 20 2.5051e+00 -1.1752e-05
4 22 2.5140e+00 -4.1855e-08
5 5 -1.9996e-02 -9.0184e-07
6 4 -3.0064e-02 -2.6829e-08
6 6 -2.1225e-02 -7.1419e-06
6 8 -1.2386e-02 -2.8607e-08
6 22 2.5040e+00 -4.4068e-08
18 18 9.5781e-02 -3.0645e-08
20 4 -2.4306e+00 -5.3062e-08
20 18 8.5760e-02 -2.8778e-08
20 20 9.4601e-02 -1.0048e-05
20 22 1.0344e-01 -3.5940e-08
22 22 9.3421e-02 -3.7816e-08
0 0 -1.9151e-02 1.9386e-03
0 1 -1.7678e-02 9.1770e-07
0 2 -1.0312e-02 3.3847e-06
0 16 2.5060e+00 1.1951e-05
0 18 2.5149e+00 1.9808e-08
16 0 -2.4297e+00 1.0228e-05
16 2 -2.4209e+00 1.8096e-08
16 16 9.5487e-02 1.9370e-03
16 17 9.6960e-02 9.3896e-07
16 18 1.0433e-01 3.2241e-06
3 1 -2.9126e-02 -1.0043e-08
3 3 -2.0288e-02 -5.7345e-06
3 5 -1.1449e-02 -1.7194e-08
3 19 2.5049e+00 -3.5365e-08
4 4 -2.1516e-02 -9.0186e-07
5 3 -3.0309e-02 -5.7236e-06
5 4 -2.2944e-02 -9.0184e-07
5 5 -2.1470e-02 -1.9050e-03
5 7 -1.2631e-02 -7.1483e-06
5 19 2.4949e+00 -3.3187e-08
5 21 2.5037e+00 -1.1752e-05
5 23 2.5126e+00 -4.1855e-08
7 5 -3.1491e-02 -2.6829e-08
7 7 -2.2652e-02 -7.1419e-06
7 9 -1.3814e-02 -2.8607e-08
7 23 2.5025e+00 -4.4068e-08
19 19 9.4353e-02 -3.0645e-08
21 5 -2.4320e+00 -5.3063e-08
21 19 8.4332e-02 -2.8778e-08
21 21 9.3173e-02 -1.0048e-05
21 23 1.0201e-01 -3.5941e-08
23 23 9.1993e-02 -3.7816e-08
0 0 -2.6517e-02 1.9386e-03
0 1 -2.5043e-02 9.1770e-07
0 2 -1.7678e-02 3.3847e-06
0 16 2.4987e+00 1.1951e-05
0 18 2.5075e+00 1.9808e-08
16 0 -2.4371e+00 1.0228e-05
16 2 -2.4282e+00 1.8096e-08
16 16 8.8122e-02 1.9370e-03
16 17 8.9595e-02 9.3896e-07
16 18 9.6963e-02 3.2241e-06
4 2 -3.7720e-02 -2.1477e-08
4 4 -2.8881e-02 -7.1483e-06
4 6 -2.0042e-02 -2.6824e-08
4 20 2.4963e+00 -4.4097e-08
6 4 -3.8903e-02 -7.1419e-06
6 6 -3.0064e-02 -1.9012e-03
6 7 -2.8590e-02 -9.0008e-07
6 8 -2.1225e-02 -7.6152e-06
6 20 2.4863e+00 -4.1420e-08
6 22 2.4951e+00 -1.1731e-05
6 24 2.5040e+00 -4.4598e-08
