# gs_idx, es_idx, energy, intensity
0 0 0.0000e+00 4.8439e-04
0 1 1.4736e-03 2.2931e-07
0 2 1.5154e-03 2.5021e-07
0 4 8.8388e-03 8.4573e-07
0 32 2.5252e+00 2.9862e-06
32 0 -2.4105e+00 2.5557e-06
32 32 1.1464e-01 4.8400e-04
32 33 1.1611e-01 2.3462e-07
32 34 1.1615e-01 2.4414e-07
32 36 1.2348e-01 8.0563e-07
1 1 4.6035e-05 -2.2748e-07
2 2 1.0194e-05 -2.4822e-07
4 4 -1.1824e-03 -8.3656e-07
0 0 -1.4736e-03 4.8439e-04
0 1 0.0000e+00 2.2931e-07
0 2 4.1830e-05 2.5021e-07
0 4 7.3652e-03 8.4573e-07
0 32 2.5237e+00 2.9862e-06
32 0 -2.4120e+00 2.5557e-06
32 32 1.1316e-01 4.8400e-04
32 33 1.1464e-01 2.3462e-07
32 34 1.1468e-01 2.4414e-07
32 36 1.2201e-01 8.0563e-07
1 0 -2.9012e-03 -2.2748e-07
1 1 -1.4276e-03 -4.8053e-04
1 3 8.7865e-05 -2.4822e-07
1 5 7.4113e-03 -8.3899e-07
1 33 2.5237e+00 -2.9625e-06
3 3 -1.4174e-03 -2.4822e-07
5 5 -2.6100e-03 -8.3656e-07
33 1 -2.4120e+00 -1.3377e-08
33 33 1.1321e-01 -2.5333e-06
0 0 -1.5154e-03 4.8439e-04
0 1 -4.1830e-05 2.2931e-07
0 2 0.0000e+00 2.5021e-07
0 4 7.3234e-03 8.4573e-07
0 32 2.5237e+00 2.9862e-06
32 0 -2.4121e+00 2.5557e-06
32 32 1.1312e-01 4.8400e-04
32 33 1.1460e-01 2.3462e-07
32 34 1.1464e-01 2.4414e-07
32 36 1.2196e-01 8.0563e-07
2 0 -3.0207e-03 -2.4822e-07
2 2 -1.5052e-03 -4.8053e-04
2 3 -3.1636e-05 -2.2748e-07
2 6 7.3336e-03 -8.3900e-07
2 34 2.5237e+00 -2.9623e-06
3 3 -1.4592e-03 -2.2748e-07
6 6 -2.6876e-03 -8.3657e-07
34 2 -2.4120e+00 -1.3376e-08
34 34 1.1313e-01 -2.5332e-06
0 0 -2.9890e-03 4.8439e-04
0 1 -1.5154e-03 2.2931e-07
0 2 -1.4736e-03 2.5021e-07
0 4 5.8498e-03 8.4573e-07
0 32 2.5222e+00 2.9862e-06
32 0 -2.4135e+00 2.5557e-06
32 32 1.1165e-01 4.8400e-04
32 33 1.1312e-01 2.3462e-07
32 34 1.1317e-01 2.4414e-07
32 36 1.2049e-01 8.0563e-07
1 1 -2.9430e-03 -2.4822e-07
2 2 -2.9788e-03 -2.2748e-07
3 1 -4.4482e-03 -2.4822e-07
3 2 -4.4064e-03 -2.2748e-07
3 3 -2.9328e-03 -4.8053e-04
3 7 5.9060e-03 -8.3899e-07
3 35 2.5222e+00 -2.9624e-06
7 7 -4.1152e-03 -8.3657e-07
35 3 -2.4135e+00 -1.3376e-08
35 35 1.1171e-01 -2.5332e-06
0 0 -8.8388e-03 4.8439e-04
0 1 -7.3652e-03 2.2931e-07
0 2 -7.3234e-03 2.5021e-07
0 4 0.0000e+00 8.4573e-07
0 32 2.5163e+00 2.9862e-06
32 0 -2.4194e+00 2.5557e-06
32 32 1.0580e-01 4.8400e-04
32 33 1.0727e-01 2.3462e-07
32 34 1.0732e-01 2.4414e-07
32 36 1.1464e-01 8.0563e-07
4 0 -1.8860e-02 -8.3656e-07
4 4 -1.0021e-02 -4.7766e-04
4 5 -8.5476e-03 -2.2613e-07
4 6 -8.5058e-03 -2.4673e-07
4 8 -1.1824e-03 -1.4321e-06
4 36 2.5152e+00 -2.9458e-06
5 5 -9.9752e-03 -2.2612e-07
6 6 -1.0011e-02 -2.4673e-07
8 8 -1.1204e-02 -1.4294e-06
36 4 -2.4206e+00 -1.3301e-08
36 36 1.0462e-01 -2.5189e-06
0 0 -1.0312e-02 4.8439e-04
0 1 -8.8388e-03 2.2931e-07
0 2 -8.7970e-03 2.5021e-07
0 4 -1.4736e-03 8.4573e-07
0 32 2.5149e+00 2.9862e-06
32 0 -2.4209e+00 2.5557e-06
32 32 1.0433e-01 4.8400e-04
32 33 1.0580e-01 2.3462e-07
32 34 1.0584e-01 2.4414e-07
32 36 1.1317e-01 8.0563e-07
1 1 -1.0266e-02 -8.3899e-07
4 4 -1.1495e-02 -2.2613e-07
5 1 -2.0288e-02 -8.3656e-07
5 4 -1.2922e-02 -2.2612e-07
5 5 -1.1449e-02 -4.7766e-04
5 7 -9.9334e-03 -2.4673e-07
5 9 -2.6100e-03 -1.4321e-06
5 37 2.5137e+00 -2.9458e-06
7 7 -1.1439e-02 -2.4673e-07
9 9 -1.2631e-02 -1.4294e-06
37 5 -2.4220e+00 -1.3301e-08
37 37 1.0319e-01 -2.5189e-06
0 0 -1.0354e-02 4.8439e-04
0 1 -8.8807e-03 2.2931e-07
0 2 -8.8388e-03 2.5021e-07
0 4 -1.5154e-03 8.4573e-07
0 32 2.5148e+00 2.9862e-06
