# lower_burn_idx, upper_idx, energy, intensity
0 64 0.0000e+00 1.0000e+00
0 64 -1.0374e-02 1.0000e+00
0 66 -1.3247e-02 -1.6450e-09
0 65 -1.3247e-02 -1.0000e+00
0 66 -1.3247e-02 -1.6349e-09
0 64 -1.0374e-02 1.0000e+00
0 65 -1.3247e-02 -1.6450e-09
0 66 -1.3247e-02 -1.0000e+00
0 65 -1.3247e-02 -1.6349e-09
0 64 -2.0748e-02 1.0000e+00
0 67 -2.6494e-02 -1.0000e+00
0 64 -2.0748e-02 1.0000e+00
0 68 -2.6494e-02 -1.0000e+00
0 64 -2.0748e-02 1.0000e+00
0 69 -2.6494e-02 -1.0000e+00
0 64 -3.1123e-02 1.0000e+00
0 70 -3.9741e-02 -1.0000e+00
0 64 -3.1123e-02 1.0000e+00
0 71 -3.9741e-02 -1.0000e+00
0 64 -3.1123e-02 1.0000e+00
0 72 -3.9741e-02 -1.0000e+00
0 64 -3.1123e-02 1.0000e+00
0 73 -3.9741e-02 -1.0000e+00
0 64 -4.1497e-02 1.0000e+00
0 75 -5.2988e-02 -6.6017e-09
0 74 -5.2988e-02 -1.0000e+00
0 75 -5.2988e-02 -6.2527e-09
0 64 -4.1497e-02 1.0000e+00
0 76 -5.2988e-02 -2.0342e-09
0 74 -5.2988e-02 -6.6017e-09
0 75 -5.2988e-02 -1.0000e+00
0 76 -5.2988e-02 -1.5520e-09
0 74 -5.2988e-02 -6.2527e-09
0 64 -4.1497e-02 1.0000e+00
0 75 -5.2988e-02 -2.0342e-09
0 76 -5.2988e-02 -1.0000e+00
0 75 -5.2988e-02 -1.5520e-09
0 64 -4.1497e-02 1.0000e+00
0 77 -5.2988e-02 -1.0000e+00
0 64 -4.1497e-02 1.0000e+00
0 78 -5.2988e-02 -1.0000e+00
0 64 -5.1871e-02 1.0000e+00
0 79 -6.6234e-02 -1.0000e+00
0 64 -5.1871e-02 1.0000e+00
0 80 -6.6234e-02 -1.0000e+00
0 64 -5.1871e-02 1.0000e+00
0 81 -6.6234e-02 -1.0000e+00
0 64 -5.1871e-02 1.0000e+00
0 82 -6.6234e-02 -1.0000e+00
0 64 -5.1871e-02 1.0000e+00
0 83 -6.6234e-02 -1.0000e+00
0 64 -5.1871e-02 1.0000e+00
0 84 -6.6234e-02 -1.0000e+00
0 64 -6.2245e-02 1.0000e+00
0 85 -7.9481e-02 -1.0000e+00
0 64 -6.2245e-02 1.0000e+00
0 86 -7.9481e-02 -1.0000e+00
