Chosen atom: Atom: Y2, Position: [-2.206227  2.54016   1.972179]

((1.90612, -0.81312, -2.69396), 1/2, -0.2748308, 'Y1')
((3.26883, 0.0, 1.13858), 1/2, -0.2748308, 'Y2')
((0.7625, 2.4528, 2.38898), 1/2, -0.2748308, 'Y1')
((-2.98117, -1.72032, 1.13858), 1/2, -0.2748308, 'Y2')
((2.50633, 2.4528, -1.2504), 1/2, -0.2748308, 'Y1')
((1.36271, -0.81312, 3.83253), 1/2, -0.2748308, 'Y1')
((-3.74367, 2.54688, -1.2504), 1/2, -0.2748308, 'Y1')
((0.7625, -4.2672, 2.38898), 1/2, -0.2748308, 'Y1')
((2.50633, -4.2672, -1.2504), 1/2, -0.2748308, 'Y1')
((-4.34388, -0.9072, -2.69396), 1/2, -0.2748308, 'Y1')
((1.14362, 1.63968, -5.08294), 1/2, -0.2748308, 'Y2')
((-1.14362, 1.63968, 5.08293), 1/2, -0.2748308, 'Y2')
((-1.83755, -3.36, -3.94436), 1/2, -0.2748308, 'Y2')
((-1.83755, 3.36, -3.94436), 1/2, -0.2748308, 'Y2')
((-3.74367, -4.17312, -1.2504), 1/2, -0.2748308, 'Y1')
((-2.98117, 4.99968, 1.13858), 1/2, -0.2748308, 'Y2')
((4.41245, 1.63968, -3.94436), 1/2, -0.2748308, 'Y2')
((-4.88729, -0.9072, 3.83253), 1/2, -0.2748308, 'Y1')
((-6.25, -1.72032, 0.0), 1/2, -0.2748308, 'Y2')
((6.25, -1.72032, 0.0), 1/2, -0.2748308, 'Y2')
((-5.4875, 2.54688, 2.38898), 1/2, -0.2748308, 'Y1')
((0.0, -6.72, 0.0), 1/2, -0.2748308, 'Y2')
((0.0, 6.72, 0.0), 1/2, -0.2748308, 'Y2')
((1.90612, 5.90688, -2.69396), 1/2, -0.2748308, 'Y1')
((2.1252, 1.63968, 6.22151), 1/2, -0.2748308, 'Y2')
((-2.60004, -0.9072, -6.33334), 1/2, -0.2748308, 'Y1')
((1.36271, 5.90688, 3.83253), 1/2, -0.2748308, 'Y1')
