Chosen atom: Atom: Y, Position: [-0.       -1.779575  0.786162]

((0.0, 0.0, -3.14465), 7/2, 1.4711, 'V')
((0.0, 0.0, 3.14465), 7/2, 1.4711, 'V')
((0.0, -3.55915, -1.57232), 1/2, -0.2748308, 'Y')
((0.0, 3.55915, -1.57232), 1/2, -0.2748308, 'Y')
((-3.55915, 0.0, 1.57233), 1/2, -0.2748308, 'Y')
((3.55915, 0.0, 1.57233), 1/2, -0.2748308, 'Y')
((0.0, -3.55915, 1.57233), 7/2, 1.4711, 'V')
((0.0, 3.55915, 1.57233), 7/2, 1.4711, 'V')
((-3.55915, 0.0, -1.57232), 7/2, 1.4711, 'V')
((3.55915, 0.0, -1.57232), 7/2, 1.4711, 'V')
((-3.55915, -3.55915, 0.0), 7/2, 1.4711, 'V')
((-3.55915, 3.55915, 0.0), 7/2, 1.4711, 'V')
((3.55915, -3.55915, 0.0), 7/2, 1.4711, 'V')
((3.55915, 3.55915, 0.0), 7/2, 1.4711, 'V')
((-3.55915, 0.0, -4.71697), 1/2, -0.2748308, 'Y')
((3.55915, 0.0, -4.71697), 1/2, -0.2748308, 'Y')
((0.0, -3.55915, -4.71697), 7/2, 1.4711, 'V')
((0.0, 3.55915, -4.71697), 7/2, 1.4711, 'V')
((0.0, -3.55915, 4.71698), 1/2, -0.2748308, 'Y')
((0.0, 3.55915, 4.71698), 1/2, -0.2748308, 'Y')
((-3.55915, 0.0, 4.71698), 7/2, 1.4711, 'V')
((3.55915, 0.0, 4.71698), 7/2, 1.4711, 'V')
((-3.55915, -3.55915, -3.14465), 1/2, -0.2748308, 'Y')
((-3.55915, -3.55915, 3.14465), 1/2, -0.2748308, 'Y')
((-3.55915, 3.55915, -3.14465), 1/2, -0.2748308, 'Y')
((-3.55915, 3.55915, 3.14465), 1/2, -0.2748308, 'Y')
((3.55915, -3.55915, -3.14465), 1/2, -0.2748308, 'Y')
((3.55915, -3.55915, 3.14465), 1/2, -0.2748308, 'Y')
((3.55915, 3.55915, -3.14465), 1/2, -0.2748308, 'Y')
((3.55915, 3.55915, 3.14465), 1/2, -0.2748308, 'Y')
((0.0, 0.0, -6.2893), 1/2, -0.2748308, 'Y')
((0.0, 0.0, 6.2893), 1/2, -0.2748308, 'Y')
((-7.1183, 0.0, 0.0), 1/2, -0.2748308, 'Y')
((0.0, -7.1183, 0.0), 1/2, -0.2748308, 'Y')
((0.0, 7.1183, 0.0), 1/2, -0.2748308, 'Y')
((7.1183, 0.0, 0.0), 1/2, -0.2748308, 'Y')
((-7.1183, 0.0, -3.14465), 7/2, 1.4711, 'V')
((-7.1183, 0.0, 3.14465), 7/2, 1.4711, 'V')
((0.0, -7.1183, -3.14465), 7/2, 1.4711, 'V')
((0.0, -7.1183, 3.14465), 7/2, 1.4711, 'V')
((0.0, 7.1183, -3.14465), 7/2, 1.4711, 'V')
((0.0, 7.1183, 3.14465), 7/2, 1.4711, 'V')
((7.1183, 0.0, -3.14465), 7/2, 1.4711, 'V')
((7.1183, 0.0, 3.14465), 7/2, 1.4711, 'V')
((-3.55915, -3.55915, -6.2893), 7/2, 1.4711, 'V')
((-3.55915, -3.55915, 6.2893), 7/2, 1.4711, 'V')
((-3.55915, 3.55915, -6.2893), 7/2, 1.4711, 'V')
((-3.55915, 3.55915, 6.2893), 7/2, 1.4711, 'V')
((3.55915, -3.55915, -6.2893), 7/2, 1.4711, 'V')
((3.55915, -3.55915, 6.2893), 7/2, 1.4711, 'V')
((3.55915, 3.55915, -6.2893), 7/2, 1.4711, 'V')
((3.55915, 3.55915, 6.2893), 7/2, 1.4711, 'V')
((-7.1183, -3.55915, -1.57232), 1/2, -0.2748308, 'Y')
((-7.1183, 3.55915, -1.57232), 1/2, -0.2748308, 'Y')
((7.1183, -3.55915, -1.57232), 1/2, -0.2748308, 'Y')
((7.1183, 3.55915, -1.57232), 1/2, -0.2748308, 'Y')
((-3.55915, -7.1183, 1.57233), 1/2, -0.2748308, 'Y')
((-3.55915, 7.1183, 1.57233), 1/2, -0.2748308, 'Y')
((3.55915, -7.1183, 1.57233), 1/2, -0.2748308, 'Y')
((3.55915, 7.1183, 1.57233), 1/2, -0.2748308, 'Y')
((-7.1183, -3.55915, 1.57233), 7/2, 1.4711, 'V')
((-7.1183, 3.55915, 1.57233), 7/2, 1.4711, 'V')
((7.1183, -3.55915, 1.57233), 7/2, 1.4711, 'V')
((7.1183, 3.55915, 1.57233), 7/2, 1.4711, 'V')
((-3.55915, -7.1183, -1.57232), 7/2, 1.4711, 'V')
((-3.55915, 7.1183, -1.57232), 7/2, 1.4711, 'V')
((3.55915, -7.1183, -1.57232), 7/2, 1.4711, 'V')
((3.55915, 7.1183, -1.57232), 7/2, 1.4711, 'V')
((0.0, -3.55915, -7.86162), 1/2, -0.2748308, 'Y')
((0.0, 3.55915, -7.86162), 1/2, -0.2748308, 'Y')
((-3.55915, 0.0, 7.86162), 1/2, -0.2748308, 'Y')
((3.55915, 0.0, 7.86162), 1/2, -0.2748308, 'Y')
((0.0, -3.55915, 7.86162), 7/2, 1.4711, 'V')
((0.0, 3.55915, 7.86162), 7/2, 1.4711, 'V')
((-3.55915, 0.0, -7.86162), 7/2, 1.4711, 'V')
((3.55915, 0.0, -7.86162), 7/2, 1.4711, 'V')
((-7.1183, -3.55915, 4.71698), 1/2, -0.2748308, 'Y')
((-7.1183, 3.55915, 4.71698), 1/2, -0.2748308, 'Y')
((7.1183, -3.55915, 4.71698), 1/2, -0.2748308, 'Y')
((7.1183, 3.55915, 4.71698), 1/2, -0.2748308, 'Y')
((-3.55915, -7.1183, -4.71697), 1/2, -0.2748308, 'Y')
((-3.55915, 7.1183, -4.71697), 1/2, -0.2748308, 'Y')
((3.55915, -7.1183, -4.71697), 1/2, -0.2748308, 'Y')
((3.55915, 7.1183, -4.71697), 1/2, -0.2748308, 'Y')
((-7.1183, -3.55915, -4.71697), 7/2, 1.4711, 'V')
((-7.1183, 3.55915, -4.71697), 7/2, 1.4711, 'V')
((7.1183, -3.55915, -4.71697), 7/2, 1.4711, 'V')
((7.1183, 3.55915, -4.71697), 7/2, 1.4711, 'V')
((-3.55915, -7.1183, 4.71698), 7/2, 1.4711, 'V')
((-3.55915, 7.1183, 4.71698), 7/2, 1.4711, 'V')
((3.55915, -7.1183, 4.71698), 7/2, 1.4711, 'V')
